Proj_Date,BOM_Quant
2023-10-08,1.0
2023-10-15,24.0
2023-10-22,4.0
2023-10-29,24.0
2023-11-05,102.0
2023-11-12,102.0
2023-11-19,102.0
2023-11-26,102.0
2023-12-03,102.0
2023-12-10,102.0
2023-12-17,102.0
2023-12-24,102.0
2023-12-31,102.0
2024-01-07,102.0
2024-01-14,102.0
2024-01-21,102.0
2024-01-28,125.0
2024-02-04,23.0
2024-02-11,102.0
2024-02-18,2015.1
2024-02-25,102.0
2024-03-03,102.0
2024-03-10,18.0
2024-03-17,9.0
2024-03-24,102.0
2024-03-31,1.0
2024-04-07,102.0
2024-04-14,102.0
2024-04-21,102.0
2024-04-28,102.0
2024-05-05,25.0
2024-05-12,22.0
2024-05-19,52.0
2024-05-26,102.0
2024-06-02,1.0
2024-06-09,102.0
2024-06-16,102.0
2024-06-23,15.0
2024-06-30,102.0
2024-07-07,1.0
2024-07-14,102.0
2024-07-21,102.0
2024-07-28,1692.0
2024-08-04,2550.0
2024-08-11,72.0
2024-08-18,102.0
2024-08-25,252.0
2024-09-01,32.0
2024-09-08,6.0
2024-09-15,55.0
2024-09-22,1.0
2024-09-29,79.0
2024-10-06,4.0
2024-10-13,5101.0
2024-10-20,230.0
2024-10-27,30.0
2024-11-03,102.0
2024-11-10,8.0
2024-11-17,6.0
2024-11-24,531.0
2024-12-01,102.0
2024-12-08,93.0
2024-12-15,45.0
2024-12-22,51.0
2024-12-29,102.0
2025-01-05,12.0
2025-01-12,982.0
2025-01-19,469.0
2025-01-26,1164.0
2025-02-02,218.0
2025-02-09,436.0
2025-02-16,18.28
2025-02-23,350.0
2025-03-02,102.0
2025-03-09,102.0
2025-03-16,2.0
2025-03-23,480.0
2025-03-30,3.0
2025-04-06,3.0
2025-04-13,271.0
2025-04-20,102.0
2025-04-27,300.0
2025-05-04,1483.0
