Proj_Date,BOM_Quant
2023-10-15,6.0
2023-10-22,6.0
2023-10-29,6.0
2023-11-05,6.0
2023-11-12,10.0
2023-11-19,10.0
2023-11-26,10.0
2023-12-03,10.0
2023-12-10,10.0
2023-12-17,10.0
2023-12-24,10.0
2023-12-31,10.0
2024-01-07,10.0
2024-01-14,10.0
2024-01-21,10.0
2024-01-28,10.0
2024-02-04,10.0
2024-02-11,10.0
2024-02-18,10.0
2024-02-25,6.0
2024-03-03,6.0
2024-03-10,6.0
2024-03-17,6.0
2024-03-24,6.0
2024-03-31,6.0
2024-04-07,120.0
2024-04-14,120.0
2024-04-21,120.0
2024-04-28,120.0
2024-05-05,120.0
2024-05-12,20.0
2024-05-19,20.0
2024-05-26,23.0
2024-06-02,21.5
2024-06-09,23.0
2024-06-16,23.0
2024-06-23,22.5
2024-06-30,23.0
2024-07-07,23.0
2024-07-14,22.833333333333332
2024-07-21,23.0
2024-07-28,23.0
2024-08-04,22.944444444444443
2024-08-11,23.0
2024-08-18,4.0
2024-08-25,4.0
2024-09-01,180.0
2024-09-08,92.0
2024-09-15,4.0
2024-09-22,1.0
2024-09-29,2.5
2024-10-06,2.5
2024-10-13,1.0
2024-10-20,1.0
2024-10-27,1.0
2024-11-03,1.0
2024-11-10,1.0
2024-11-17,1.0
2024-11-24,143.0
2024-12-01,165.0
2024-12-08,10.0
2024-12-15,106.0
2024-12-22,87.5
2024-12-29,10.0
2025-01-05,67.83333333333333
2025-01-12,60.0
2025-01-19,60.0
2025-01-26,60.0
2025-02-02,60.0
2025-02-09,60.0
2025-02-16,60.0
2025-02-23,51.0
2025-03-02,3.0
2025-03-09,14.0
